flight_number,name,date_utc,rocket_id,rocket_name,launchpad_id,launchpad_name,success,failures,details,crew_count,payloads_count,cores_reused,landing_success,landing_type
1,FalconSat,2006-03-24T22:30:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,0,1,Engine failure at 33 seconds and loss of vehicle,0,1,0,0,
2,DemoSat,2007-03-21T01:10:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,0,1,"Successful first stage burn and transition to second stage, maximum altitude 289 km, Premature engine shutdown at T+7 min 30 s, Failed to reach orbit, Failed to recover first stage",0,1,0,0,
3,Trailblazer,2008-08-03T03:34:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,0,1,Residual stage 1 thrust led to collision between stage 1 and stage 2,0,2,0,0,
4,RatSat,2008-09-28T23:15:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,1,0,"Ratsat was carried to orbit on the first successful orbital launch of any privately funded and developed, liquid-propelled carrier rocket, the SpaceX Falcon 1",0,1,0,0,
5,RazakSat,2009-07-13T03:35:00.000Z,5e9d0d95eda69955f709d1eb,Falcon 1,5e9e4502f5090995de566f86,Kwajalein Atoll,1,0,,0,1,0,0,
6,Falcon 9 Test Flight,2010-06-04T18:45:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,,0,1,0,0,
7,COTS 1,2010-12-08T15:43:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,,0,2,0,0,
8,COTS 2,2012-05-22T07:44:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"Launch was scrubbed on first attempt, second launch attempt was successful",0,1,0,0,
9,CRS-1,2012-10-08T00:35:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,"CRS-1 successful, but the secondary payload was inserted into abnormally low orbit and lost due to Falcon 9 boost stage engine failure, ISS visiting vehicle safety rules, and the primary payload owner's contractual right to decline a second ignition of the second stage under some conditions.",0,2,0,0,
10,CRS-2,2013-03-01T19:10:00.000Z,5e9d0d95eda69973a809d1ec,Falcon 9,5e9e4501f509094ba4566f84,CCSFS SLC 40,1,0,Last launch of the original Falcon 9 v1.0 launch vehicle,0,1,0,0,
